Timestamp (s),Code,Code,Code,Code,Code,Code,Code,Energy (J),Duration (s),Feed rate (mm/min),Spindle speed (RPM),Spindle Load,X Load,Y Load,Z Load,X (mm),Y (mm),dX (code) (mm),dY (code) (mm),Length of Cut XY (code) (mm),Z (mm),dZ (mm),Cutting Strategy,IdX (mm),IdY (mm),Depth of Cut(mm),Area of Cut (mm^2),Volume of Cut (mm^3),Cut / No Cut,Length of Cut XYZ (code) (mm),Operation Type
0.12,G28,X0,Y0,,,,,,0.31,,0,0,11,,,0,0,0,0,,0,,,,,,,,,,
0.43,G04,X1.0000,,,,,,,2.11,,0,0,12.27358491,,,0,0,0,0,0,0,0,,0,0,,0,0,Dwell,0,Face Milling
2.54,G30,X0.0000,Y0.0000,,,,,9.6,0.59,,0,0,12,16,13.01666667,0,0,0,0,0,0,0,,0,0,0,0,0,,0,Face Milling
3.13,G04,X1.0000,,,,,,5.57,0.32,,0,0,14.60606061,16.87878788,13.96969697,0,0,0,0,0,0,0,,0,0,,0,0,Dwell,0,Face Milling
3.45,G90,G17,G00,X-31.5880,Y-36.5740,,,46.28,0.95,17232.60417,0,0,90.26041667,48.20833333,13.02083333,-31.588,-36.574,-31.588,-36.574,48.32658916,0,0,,0,0,0,0,0,No Cut - Rapid motion,48.32658916,Face Milling
4.4,G04,X1.0000,,,,,,4.68,0.93,11.39361702,3.404255319,1.14893617,7.957446809,4.978723404,14.92553191,-31.588,-36.574,0,0,0,0,0,,0,0,,0,0,Dwell,0,Face Milling
5.33,G43,Z1.0000,H2,S1500,M3,,,1.91,0.63,8018.765625,902.421875,59.40625,3.515625,2.984375,27.578125,-31.588,-36.574,0,0,0,1,1,,0,0,0,0,0,No Cut - Rapid motion,1,Face Milling
5.96,G04,X1.0000,,,,,,3.15,1.25,0,1499,4.507936508,4.738095238,2.5,18.68253968,-31.588,-36.574,0,0,0,1,0,,0,0,,0,0,Dwell,0,Face Milling
7.21,Z-1.0000,,,,,,,3.12,1.55,75.51282051,1499,3.993589744,4.794871795,2,10.62179487,-31.588,-36.574,0,0,0,-1,-2,,0,0,0,71.25573925,0,Air-Cut in Z while plunging,0,Face Milling
8.76,G04,X1.0000,,,,,,1.96,0.94,0,1499,3,3.294736842,2.063157895,18.45263158,-31.588,-36.574,0,0,0,-1,0,,0,0,,0,0,Dwell,0,Face Milling
9.7,Y30.0000,,,,,,,515.89,52.7,75.84367293,1501.447353,6.811420983,1.636501613,9.787326883,21.34187061,-31.588,30,0,66.574,66.574,-1,0,Climb,4.9,63.4,1,317.07,317.07,Cut with Feed,66.574,Face Milling
62.4,G04,X1.0000,,,,,,5.76,0.94,0,1499,2.021052632,11.24210526,6.063157895,24.01052632,-31.588,30,0,0,0,-1,0,,0,0,,0,0,Dwell,0,Face Milling
63.34,X-28.4130,Y31.5880,,,,,,32.3,2.82,75.73144876,1499,4.879858657,30.9434629,11.41342756,24.8869258,-28.413,31.588,3.175,1.588,3.549981549,-1,0,Climb,3.4,4.6,1,10.65,10.65,Cut with Feed,3.549981549,Face Milling
66.16,G04,X1.0000,,,,,,6.69,0.94,0,1499,2.010526316,9.578947368,7.042105263,22.95789474,-28.413,31.588,0,0,0,-1,0,,0,0,,0,0,Dwell,0,Face Milling
67.1,Y-31.5880,,,,,,,581.61,50,75.67126575,1502.211358,7.717256549,9.872425515,11.62987403,21.14917017,-28.413,-31.588,0,-63.176,63.176,-1,0,Conventional,3,63.2,1,186.59,186.59,Cut with Feed,63.176,Face Milling
117.1,G04,X1.0000,,,,,,5.77,0.95,0,1499,2.010416667,5.104166667,6.010416667,19.32291667,-28.413,-31.588,0,0,0,-1,0,,0,0,,0,0,Dwell,0,Face Milling
118.05,X-25.2380,,,,,,,16.39,2.52,75.69960474,1502.715415,7.52173913,22.66798419,6.47826087,15.3715415,-25.238,-31.588,3.175,0,3.175,-1,0,Conventional,3.1,4.5,1,10.55,10.55,Cut with Feed,3.175,Face Milling
120.57,G04,X1.0000,,,,,,4.66,0.97,0,1499,2.663265306,5.346938776,4.755102041,20.3877551,-25.238,-31.588,0,0,0,-1,0,,0,0,,0,0,Dwell,0,Face Milling
121.54,Y31.5880,,,,,,,492.33,49.8,75.54647661,1502.479221,7.798233286,12.35193736,9.884159807,18.13732182,-25.238,31.588,0,63.176,63.176,-1,0,Climb,3.2,63.2,1,192.65,192.65,Cut with Feed,63.176,Face Milling
171.34,G04,X1.0000,,,,,,9.62,1.28,0,1499,2.015503876,2.589147287,7.457364341,22.48837209,-25.238,31.588,0,0,0,-1,0,,0,0,,0,0,Dwell,0,Face Milling
172.62,X-22.0630,,,,,,,12.88,2.62,71.9391635,1501.509506,6.980988593,21.35361217,4.897338403,22.86311787,-22.063,31.588,3.175,0,3.175,-1,0,Climb,3.1,4.5,1,10.42,10.42,Cut with Feed,3.175,Face Milling
175.24,G04,X1.0000,,,,,,6.97,0.94,0,1499.105263,2.063157895,8.663157895,7.336842105,19.67368421,-22.063,31.588,0,0,0,-1,0,,0,0,,0,0,Dwell,0,Face Milling
176.18,Y-31.5880,,,,,,,455.05,37.19,101.9725806,1502.467742,9.237365591,9.140322581,12.23252688,22.13790323,-22.063,-31.588,0,-63.176,63.176,-1,0,Conventional,3.2,63.2,1,192.78,192.78,Cut with Feed,63.176,Face Milling
213.37,G04,X1.0000,,,,,,8.54,1.26,0,1499.07874,2.031496063,3.984251969,6.724409449,19.2519685,-22.063,-31.588,0,0,0,-1,0,,0,0,,0,0,Dwell,0,Face Milling
214.63,X-18.8880,,,,,,,14.17,1.88,101.4603175,1502.280423,10.31746032,26.6984127,7.497354497,15.16931217,-18.888,-31.588,3.175,0,3.175,-1,0,Conventional,3.1,4.4,1,10.33,10.33,Cut with Feed,3.175,Face Milling
216.51,G04,X1.0000,,,,,,3.99,0.98,0,1499.10101,2.393939394,4.111111111,4.03030303,24.32323232,-18.888,-31.588,0,0,0,-1,0,,0,0,,0,0,Dwell,0,Face Milling
217.49,Y31.5880,,,,,,,386.71,37.18,101.9803711,1503.485077,10.54127454,13.47082549,10.39822533,15.36084969,-18.888,31.588,0,63.176,63.176,-1,0,Climb,3.2,63.2,1,192.87,192.87,Cut with Feed,63.176,Face Milling
254.67,G04,X1.0000,,,,,,9.81,1.22,7.902439024,1499,2.024390244,2.25203252,7.975609756,23.99186992,-18.888,31.588,0,0,0,-1,0,,0,0,,0,0,Dwell,0,Face Milling
255.89,X-15.7130,,,,,,,11.19,1.9,101.4659686,1499.052356,8.942408377,30.52879581,5.858638743,21.66492147,-15.713,31.588,3.175,0,3.175,-1,0,Climb,3,4.4,1,10.19,10.19,Cut with Feed,3.175,Face Milling
257.79,G04,X1.0000,,,,,,7.96,0.94,0,1502.263158,2.389473684,4.673684211,8.378947368,20.31578947,-15.713,31.588,0,0,0,-1,0,,0,0,,0,0,Dwell,0,Face Milling
258.73,Y-31.5880,,,,,,,378.49,30.09,126.7724252,1502.893688,10.7345515,7.649833887,12.5744186,22.72225914,-15.713,-31.588,0,-63.176,63.176,-1,0,Conventional,3.1,63.2,1,186.66,186.66,Cut with Feed,63.176,Face Milling
288.82,G04,X1.0000,,,,,,5.76,0.94,0,1499,2.031578947,1.652631579,6.063157895,19.01052632,-15.713,-31.588,0,0,0,-1,0,,0,0,,0,0,Dwell,0,Face Milling
289.76,X-12.5380,,,,,,,10.35,1.57,126.1962025,1503.050633,10.58860759,18.68987342,6.550632911,15.1835443,-12.538,-31.588,3.175,0,3.175,-1,0,Conventional,3.1,4.5,1,10.55,10.55,Cut with Feed,3.175,Face Milling
291.33,G04,X1.0000,,,,,,3.04,0.97,0,1502.265306,2.724489796,5.102040816,3.102040816,22.04081633,-12.538,-31.588,0,0,0,-1,0,,0,0,,0,0,Dwell,0,Face Milling
292.3,Y31.5880,,,,,,,305.28,30.05,126.9577512,1503.797073,11.65735196,11.67997339,10.15568862,16.99534265,-12.538,31.588,0,63.176,63.176,-1,0,Climb,3.2,63.2,1,192.65,192.65,Cut with Feed,63.176,Face Milling
322.35,G04,X1.0000,,,,,,7.32,0.94,0,1499,2.021052632,0.178947368,7.705263158,26.65263158,-12.538,31.588,0,0,0,-1,0,,0,0,,0,0,Dwell,0,Face Milling
323.29,X-9.3630,,,,,,,13.42,1.59,126.20625,1501.125,8.8125,20.1875,8.3875,23.8125,-9.363,31.588,3.175,0,3.175,-1,0,Climb,3.1,4.5,1,10.42,10.42,Cut with Feed,3.175,Face Milling
324.88,G04,X1.0000,,,,,,8.53,0.94,0,1502.368421,3.042105263,6.336842105,8.978947368,22.33684211,-9.363,31.588,0,0,0,-1,0,,0,0,,0,0,Dwell,0,Face Milling
325.82,Y-31.5880,,,,,,,336.19,24.96,149.9911894,1503.74169,12.06928314,7.946736083,13.46375651,24.55626752,-9.363,-31.588,0,-63.176,63.176,-1,0,Conventional,3.2,63.2,1,192.78,192.78,Cut with Feed,63.176,Face Milling
350.78,G04,X1.0000,,,,,,9.48,1.25,0,1499,2.03968254,3.214285714,7.523809524,21,-9.363,-31.588,0,0,0,-1,0,,0,0,,0,0,Dwell,0,Face Milling
352.03,X-6.1880,,,,,,,7.8,1.25,150.7936508,1499.079365,12.84920635,43.86507937,6.19047619,16.08730159,-6.188,-31.588,3.175,0,3.175,-1,0,Conventional,3.1,4.4,1,10.33,10.33,Cut with Feed,3.175,Face Milling
353.28,G04,X1.0000,,,,,,3.02,0.96,0,1502.298969,2.412371134,2.103092784,3.113402062,24.96907216,-6.188,-31.588,0,0,0,-1,0,,0,0,,0,0,Dwell,0,Face Milling
354.24,Y31.5880,,,,,,,273.38,24.91,151.5280899,1503.257624,12.77688604,12.23836276,10.97030498,16.36075441,-6.188,31.588,0,63.176,63.176,-1,0,Climb,3.2,63.2,1,192.87,192.87,Cut with Feed,63.176,Face Milling
379.15,G04,X1.0000,,,,,,10.35,1.24,0,1499.08,2.04,1.184,8.28,24,-6.188,31.588,0,0,0,-1,0,,0,0,,0,0,Dwell,0,Face Milling
380.39,X-3.0130,,,,,,,4.24,1.26,150.8031496,1501.519685,10.8976378,36.26771654,3.338582677,23.72440945,-3.013,31.588,3.175,0,3.175,-1,0,Climb,3,4.4,1,10.19,10.19,Cut with Feed,3.175,Face Milling
381.65,G04,X1.0000,,,,,,15.68,1.84,0,2168.659459,11.8972973,6.502702703,8.475675676,21.17297297,-3.013,31.588,0,0,0,-1,0,,0,0,,0,0,Dwell,0,Face Milling
383.49,Y-31.5880,,,,,,,352.55,25.05,149.9984038,2998,8.728252195,7.896249002,14.06823623,22.69353551,-3.013,-31.588,0,-63.176,63.176,-1,0,Conventional,3.1,63.2,1,186.66,186.66,Cut with Feed,63.176,Face Milling
408.54,G04,X1.0000,,,,,,6.65,0.94,0,2998,1.010526316,2.368421053,7,22.6,-3.013,-31.588,0,0,0,-1,0,,0,0,,0,0,Dwell,0,Face Milling
409.48,X0.1630,,,,,,,11.11,1.58,122.3647799,2998,7.616352201,41.64779874,6.987421384,16.88050314,0.163,-31.588,3.176,0,3.176,-1,0,Conventional,3.1,4.5,1,10.55,10.55,Cut with Feed,3.176,Face Milling
411.06,G04,X1.0000,,,,,,3.94,0.95,0,2998,1.072916667,4.083333333,4.104166667,26.29166667,0.163,-31.588,0,0,0,-1,0,,0,0,,0,0,Dwell,0,Face Milling
412.01,Y31.5880,,,,,,,283.26,24.94,151.9390782,2998,9.593987976,9.341082164,11.35310621,17.43727455,0.163,31.588,0,63.176,63.176,-1,0,Climb,3.2,63.2,1,192.65,192.65,Cut with Feed,63.176,Face Milling
436.95,G04,X1.0000,,,,,,7.46,0.96,0,2998,1.030927835,1.020618557,7.690721649,20,0.163,31.588,0,0,0,-1,0,,0,0,,0,0,Dwell,0,Face Milling
437.91,X3.3380,,,,,,,9.08,1.24,150.784,2998,7.472,22.968,7.264,23.208,3.338,31.588,3.175,0,3.175,-1,0,Climb,3.1,4.5,1,10.42,10.42,Cut with Feed,3.175,Face Milling
439.15,G04,X1.0000,,,,,,10.28,1.26,0,2998,3.039370079,8.724409449,8.094488189,19.52755906,3.338,31.588,0,0,0,-1,0,,0,0,,0,0,Dwell,0,Face Milling
440.41,Y-31.5880,,,,,,,255.58,18.45,202.8900325,2998,10.87486457,9.540628386,13.84507042,21.27681473,3.338,-31.588,0,-63.176,63.176,-1,0,Conventional,3.2,63.2,1,192.78,192.78,Cut with Feed,63.176,Face Milling
458.86,G04,X1.0000,,,,,,8.7,1.24,0,2998,1.8,1.448,6.96,25.936,3.338,-31.588,0,0,0,-1,0,,0,0,,0,0,Dwell,0,Face Milling
460.1,X6.5130,,,,,,,7.79,0.93,200.8404255,2998,10.25531915,37,8.287234043,19.04255319,6.513,-31.588,3.175,0,3.175,-1,0,Conventional,3.1,4.4,1,10.33,10.33,Cut with Feed,3.175,Face Milling
461.03,G04,X1.0000,,,,,,3.93,0.94,0,2997.894737,2.389473684,5.747368421,4.136842105,25.63157895,6.513,-31.588,0,0,0,-1,0,,0,0,,0,0,Dwell,0,Face Milling
461.97,Y31.5880,,,,,,,229.41,18.66,199.9791109,2997.828602,10.77825388,12.15050884,12.28762721,19.08516336,6.513,31.588,0,63.176,63.176,-1,0,Climb,3.2,63.2,1,192.87,192.87,Cut with Feed,63.176,Face Milling
480.63,G04,X1.0000,,,,,,10.81,1.26,33.57480315,2998,1.039370079,2.582677165,8.511811024,28.43307087,6.513,31.588,0,0,0,-1,0,,0,0,,0,0,Dwell,0,Face Milling
481.89,X9.6880,,,,,,,4.79,0.96,200.9072165,2998,9.329896907,4.87628866,4.93814433,19.65979381,9.688,31.588,3.175,0,3.175,-1,0,Climb,3.1,4.4,1,10.2,10.2,Cut with Feed,3.175,Face Milling
482.85,G04,X1.0000,,,,,,8.17,0.97,0,2998,2.428571429,3.663265306,8.336734694,22.35714286,9.688,31.588,0,0,0,-1,0,,0,0,,0,0,Dwell,0,Face Milling
483.82,Y-31.5880,,,,,,,232.06,15.01,253.8308921,2998,11.79960053,8.909454061,15.45006658,21.5126498,9.688,-31.588,0,-63.176,63.176,-1,0,Conventional,3.2,63.2,1,192.98,192.98,Cut with Feed,63.176,Face Milling
498.83,G04,X1.0000,,,,,,6.98,0.94,0,2998,1.021052632,0.484210526,7.347368421,24.65263158,9.688,-31.588,0,0,0,-1,0,,0,0,,0,0,Dwell,0,Face Milling
499.77,X12.8630,,,,,,,10.17,0.92,169.3333333,2998,8.956989247,16.6344086,10.93548387,21.6344086,12.863,-31.588,3.175,0,3.175,-1,0,Conventional,3,4.4,1,10.09,10.09,Cut with Feed,3.175,Face Milling
500.69,G04,X1.0000,,,,,,3.62,0.95,0,2997.895833,2.40625,6.125,3.770833333,26.63541667,12.863,-31.588,0,0,0,-1,0,,0,0,,0,0,Dwell,0,Face Milling
501.64,Y31.5880,,,,,,,174.7,15.01,252.695739,2997.793609,11.82689747,14.41411451,11.63115846,18.70505992,12.863,31.588,0,63.176,63.176,-1,0,Climb,3.2,63.2,1,186.77,186.77,Cut with Feed,63.176,Face Milling
516.65,G04,X1.0000,,,,,,10.57,1.24,0,2998,1.056,5.768,8.456,23.736,12.863,31.588,0,0,0,-1,0,,0,0,,0,0,Dwell,0,Face Milling
517.89,X16.0380,,,,,,,1.72,0.64,250.0923077,2998,9.984615385,34.4,2.646153846,20.49230769,16.038,31.588,3.175,0,3.175,-1,0,Climb,3.1,4.5,1,10.42,10.42,Cut with Feed,3.175,Face Milling
518.53,G04,X1.0000,,,,,,8.77,0.93,0,2998,2.64893617,7.627659574,9.329787234,17.29787234,16.038,31.588,0,0,0,-1,0,,0,0,,0,0,Dwell,0,Face Milling
519.46,Y-31.5880,,,,,,,174.45,12.79,295.825,2998,12.259375,8.0734375,13.62890625,21.44296875,16.038,-31.588,0,-63.176,63.176,-1,0,Conventional,6.4,63.2,1,192.79,192.79,Cut with Feed,63.176,Face Milling
532.25,G04,X1.0000,,,,,,6.72,0.95,0,2998,1.072916667,2.208333333,7,23.35416667,16.038,-31.588,0,0,0,-1,0,,0,0,,0,0,Dwell,0,Face Milling
533.2,X19.2130,,,,,,,4.12,0.63,300.234375,2998,10.9375,86.203125,6.4375,19.0625,19.213,-31.588,3.175,0,3.175,-1,0,Conventional,3.1,4.4,1,10.33,10.33,Cut with Feed,3.175,Face Milling
533.83,G04,X1.0000,,,,,,2.95,0.94,0,2997.894737,2.094736842,3.063157895,3.105263158,26.32631579,19.213,-31.588,0,0,0,-1,0,,0,0,,0,0,Dwell,0,Face Milling
534.77,Y31.5880,,,,,,,154.1,12.5,296.9544365,2997.744205,12.56514788,12.04956035,12.31814548,19.56195044,19.213,31.588,0,63.176,63.176,-1,0,Climb,3.2,63.2,1,192.87,192.87,Cut with Feed,63.176,Face Milling
547.27,G04,X1.0000,,,,,,10.95,1.25,0,2998,1.055555556,6.976190476,8.69047619,23.45238095,19.213,31.588,0,0,0,-1,0,,0,0,,0,0,Dwell,0,Face Milling
548.52,X22.3880,,,,,,,3.4,0.6,300,2998,10.39344262,18.78688525,5.573770492,21.98360656,22.388,31.588,3.175,0,3.175,-1,0,Climb,3.1,4.4,1,10.2,10.2,Cut with Feed,3.175,Face Milling
549.12,G04,X1.0000,,,,,,9.56,0.97,0,2998,2.408163265,4.969387755,9.755102041,18.66326531,22.388,31.588,0,0,0,-1,0,,0,0,,0,0,Dwell,0,Face Milling
550.09,Y-31.5880,,,,,,,244.71,12.47,304.1738782,2998,12.13141026,6.212339744,19.60817308,22.96073718,22.388,-31.588,0,-63.176,63.176,-1,0,Conventional,3.2,63.2,1,192.98,192.98,Cut with Feed,63.176,Face Milling
562.56,G04,X1.0000,,,,,,9.83,1.26,0,2998,1.070866142,0.992125984,7.74015748,22.76377953,22.388,-31.588,0,0,0,-1,0,,0,0,,0,0,Dwell,0,Face Milling
563.82,X25.5630,,,,,,,1.58,0.63,300.234375,2998,12.375,0.046875,2.46875,17.125,25.563,-31.588,3.175,0,3.175,-1,0,Conventional,3,4.4,1,10.09,10.09,Cut with Feed,3.175,Face Milling
564.45,G04,X1.0000,,,,,,2.91,0.91,0,2997.891304,1.760869565,3.489130435,3.163043478,27.59782609,25.563,-31.588,0,0,0,-1,0,,0,0,,0,0,Dwell,0,Face Milling
565.36,Y31.5880,,,,,,,172.78,12.51,304.7563898,2997.752396,12.45686901,12.2284345,13.80031949,18.92492013,25.563,31.588,0,63.176,63.176,-1,0,Climb,3.2,63.2,1,186.77,186.77,Cut with Feed,63.176,Face Milling
577.87,G04,X1.0000,,,,,,7.82,0.93,0,2998,1,5.010638298,8.319148936,24.35106383,25.563,31.588,0,0,0,-1,0,,0,0,,0,0,Dwell,0,Face Milling
578.8,X28.7380,,,,,,,7.33,0.91,202.2282609,2998,4.673913043,24.29347826,7.967391304,23.29347826,28.738,31.588,3.175,0,3.175,-1,0,Climb,1.4,4.5,1,5.94,5.94,Cut with Feed,3.175,Face Milling
579.71,G04,X1.0000,,,,,,7.81,0.97,0,2998,1.346938776,5.979591837,7.969387755,22.63265306,28.738,31.588,0,0,0,-1,0,,0,0,,0,0,Dwell,0,Face Milling
580.68,Y-31.5880,,,,,,,157.04,12.53,304.7567783,2998,5.645933014,6.257575758,12.523126,22.96889952,28.738,-31.588,0,-63.176,63.176,-1,0,Conventional,4.6,59.6,1,83.01,83.01,Cut with Feed,63.176,Face Milling
593.21,G04,X1.0000,,,,,,6.87,0.92,0,2998,1,7.021505376,7.387096774,16.66666667,28.738,-31.588,0,0,0,-1,0,,0,0,,0,0,Dwell,0,Face Milling
594.13,X31.5880,Y-30.0000,,,,,,10.39,0.94,160.2210526,2998,1,28.86315789,10.93684211,18,31.588,-30,2.85,1.588,3.262551762,-1,0,Conventional,0,0,1,0,0,Air-Cut,3.262551762,Face Milling
595.07,G04,X1.0000,,,,,,3.89,0.94,0,2998,1,5.652631579,4.094736842,18.64210526,31.588,-30,0,0,0,-1,0,,0,0,,0,0,Dwell,0,Face Milling
596.01,Y36.5740,,,,,,,182.71,13.14,304.7680608,2998,1,9.00608365,13.89429658,18.3026616,31.588,36.574,0,66.574,66.574,-1,0,,0,0,0,0,0,Air-Cut,66.574,Face Milling
609.15,G04,X1.0000,,,,,,8.33,0.95,0,2998,1,4.333333333,8.677083333,17.88541667,31.588,36.574,0,0,0,-1,0,,0,0,,0,0,Dwell,0,Face Milling
610.1,Z0,,,,,,,2.97,0.32,0,2998,1,5,9,38.78787879,31.588,36.574,0,0,0,0,1,,0,0,0,0,0,Air-cut in Z while retracting,1,Face Milling
610.42,G04,X1.0000,,,,,,8.42,0.91,153.8804348,2998,1,5.869565217,9.152173913,29.30434783,31.588,36.574,0,0,0,0,0,,0,0,,0,0,Dwell,0,Face Milling
611.33,G00,X-31.5880,Y-36.5740,,,,,33.83,0.62,11945.8254,2998,1,81.82539683,53.6984127,30.03174603,-31.588,-36.574,-63.176,-73.148,96.65317832,0,0,,0,0,0,0,0,No Cut - Rapid motion,96.65317832,Face Milling
611.95,G04,X1.0000,,,,,,3.37,0.91,0,2998,1,5.02173913,3.663043478,31.10869565,-31.588,-36.574,0,0,0,0,0,,0,0,,0,0,Dwell,0,Face Milling
612.86,Z-2.0000,,,,,,,4.74,1.57,75.51898734,2998,1,3,3,11.00632911,-31.588,-36.574,0,0,1,-2,-2,,0,0,0,71.25573925,0,Air-cut in Z while plunging,1,Face Milling
614.43,G04,X1.0000,,,,,,2.83,0.93,0,2998,1,2.670212766,3.010638298,17.70212766,-31.588,-36.574,0,0,0,-2,0,,0,0,,0,0,Dwell,0,Face Milling
615.36,Y30.0000,,,,,,,543.79,52.58,75.55200608,2998,10.96653356,4.134816505,10.34017874,18.88800152,-31.588,30,0,66.574,66.574,-2,0,Climb,4.9,63.4,1,317.07,317.07,Cut with Feed,66.574,Face Milling
667.94,G04,X1.0000,,,,,,7.74,0.95,0,2998,1.333333333,14.02083333,8.0625,23.30208333,-31.588,30,0,0,0,-2,0,,0,0,,0,0,Dwell,0,Face Milling
668.89,X-28.4130,Y31.5880,,,,,,29.81,2.9,67.12027491,2998,6.986254296,33.65292096,10.24398625,21.15463918,-28.413,31.588,3.175,1.588,3.549981549,-2,0,Climb,3.4,4.6,1,10.65,10.65,Cut with Feed,3.549981549,Face Milling
671.79,G04,X1.0000,,,,,,20.63,2.22,0,3647.919283,16.80269058,8.511210762,9.251121076,23.56502242,-28.413,31.588,0,0,0,-2,0,,0,0,,0,0,Dwell,0,Face Milling
674.01,Y-31.5880,,,,,,,154.47,16.75,228.3669451,4500,12.09367542,8.866945107,9.216587112,22.8048926,-28.413,-31.588,0,-63.176,63.176,-2,0,Conventional,3,63.2,1,186.59,186.59,Cut with Feed,63.176,Face Milling
690.76,G04,X1.0000,,,,,,6.71,0.95,0,4500,2.0625,0.291666667,6.989583333,23.625,-28.413,-31.588,0,0,0,-2,0,,0,0,,0,0,Dwell,0,Face Milling
691.71,X-25.2380,,,,,,,5.8,0.91,226.5108696,4500,11.20652174,44.68478261,6.304347826,20.73913043,-25.238,-31.588,3.175,0,3.175,-2,0,Conventional,3.1,4.5,1,10.55,10.55,Cut with Feed,3.175,Face Milling
692.62,G04,X1.0000,,,,,,4.56,0.96,0,4500,2.422680412,3.659793814,4.701030928,27.90721649,-25.238,-31.588,0,0,0,-2,0,,0,0,,0,0,Dwell,0,Face Milling
693.58,Y31.5880,,,,,,,173.9,16.75,228.8633652,4500,12.38961814,6.430787589,10.37589499,21.75,-25.238,31.588,0,63.176,63.176,-2,0,Climb,3.2,63.2,1,192.65,192.65,Cut with Feed,63.176,Face Milling
710.33,G04,X1.0000,,,,,,7.72,0.92,0,4500,2.053763441,6.64516129,8.301075269,29.27956989,-25.238,31.588,0,0,0,-2,0,,0,0,,0,0,Dwell,0,Face Milling
711.25,X-22.0630,,,,,,,11.68,0.94,226.5894737,4500,10.51578947,30.33684211,12.29473684,21.69473684,-22.063,31.588,3.175,0,3.175,-2,0,Climb,3.1,4.5,1,10.42,10.42,Cut with Feed,3.175,Face Milling
712.19,G04,X1.0000,,,,,,6.5,0.93,0,4500,2.414893617,9.382978723,6.914893617,20.36170213,-22.063,31.588,0,0,0,-2,0,,0,0,,0,0,Dwell,0,Face Milling
713.12,Y-31.5880,,,,,,,198.15,12.55,300.4625796,4500,13.89888535,10.99442675,15.77627389,21.78264331,-22.063,-31.588,0,-63.176,63.176,-2,0,Conventional,3.2,63.2,1,192.78,192.78,Cut with Feed,63.176,Face Milling
725.67,G04,X1.0000,,,,,,6.97,0.94,0,4500,3.021052632,1.210526316,7.336842105,20.35789474,-22.063,-31.588,0,0,0,-2,0,,0,0,,0,0,Dwell,0,Face Milling
726.61,X-18.8880,,,,,,,8.76,0.93,201.1702128,4500,10.28723404,60.55319149,9.319148936,21.75531915,-18.888,-31.588,3.175,0,3.175,-2,0,Conventional,3.1,4.4,1,10.33,10.33,Cut with Feed,3.175,Face Milling
727.54,G04,X1.0000,,,,,,3.83,0.94,0,4500,3.452631579,6.284210526,4.031578947,27.92631579,-18.888,-31.588,0,0,0,-2,0,,0,0,,0,0,Dwell,0,Face Milling
728.48,Y31.5880,,,,,,,188.33,12.51,304.7563898,4500,14.47603834,17.11501597,15.04233227,21.16773163,-18.888,31.588,0,63.176,63.176,-2,0,Climb,3.2,63.2,1,192.87,192.87,Cut with Feed,63.176,Face Milling
740.99,G04,X1.0000,,,,,,7.68,0.95,0,4500,3.052083333,5.322916667,8,29.28125,-18.888,31.588,0,0,0,-2,0,,0,0,,0,0,Dwell,0,Face Milling
741.94,X-15.7130,,,,,,,6.95,0.63,300.234375,4500.15625,10.890625,35.734375,10.859375,21.546875,-15.713,31.588,3.175,0,3.175,-2,0,Climb,3,4.4,1,10.19,10.19,Cut with Feed,3.175,Face Milling
742.57,G04,X1.0000,,,,,,8.53,1.25,0,4502.460317,4.333333333,8.69047619,6.76984127,20.99206349,-15.713,31.588,0,0,0,-2,0,,0,0,,0,0,Dwell,0,Face Milling
743.82,Y-31.5880,,,,,,,190.05,9.8,380.6116208,4500,16.14169215,5.902140673,19.37308869,21.3853211,-15.713,-31.588,0,-63.176,63.176,-2,0,Conventional,3.1,63.2,1,186.66,186.66,Cut with Feed,63.176,Face Milling
753.62,G04,X1.0000,,,,,,10.92,1.27,0,4500,3.09375,1.6953125,8.53125,21.2578125,-15.713,-31.588,0,0,0,-2,0,,0,0,,0,0,Dwell,0,Face Milling
754.89,X-12.5380,,,,,,,3.47,0.31,369.09375,4500.3125,14.875,87.6875,10.84375,22,-12.538,-31.588,3.175,0,3.175,-2,0,Conventional,3.1,4.5,1,10.55,10.55,Cut with Feed,3.175,Face Milling
755.2,G04,X1.0000,,,,,,5.81,1.27,0,4502.5,5.34375,8.3203125,4.5390625,26.9375,-12.538,-31.588,0,0,0,-2,0,,0,0,,0,0,Dwell,0,Face Milling
756.47,Y31.5880,,,,,,,142.79,10.02,380.6201396,4500,16.16550349,13.10867398,14.23629113,20.98305085,-12.538,31.588,0,63.176,63.176,-2,0,Climb,3.2,63.2,1,192.65,192.65,Cut with Feed,63.176,Face Milling
766.49,G04,X1.0000,,,,,,7.63,0.95,0,4500,3.083333333,6.104166667,7.947916667,29.61458333,-12.538,31.588,0,0,0,-2,0,,0,0,,0,0,Dwell,0,Face Milling
767.44,X-9.3630,,,,,,,5.37,0.63,375.046875,4500,13.796875,34.25,8.390625,21.515625,-9.363,31.588,3.175,0,3.175,-2,0,Climb,3.1,4.5,1,10.42,10.42,Cut with Feed,3.175,Face Milling
768.07,G04,X1.0000,,,,,,6.88,0.94,0,4500,3.789473684,5.663157895,7.242105263,19.97894737,-9.363,31.588,0,0,0,-2,0,,0,0,,0,0,Dwell,0,Face Milling
